Iter: 0, running avg elbo: -1131.4076
Iter: 1, running avg elbo: -1129.3709
Iter: 2, running avg elbo: -1132.9912
Iter: 3, running avg elbo: -1129.4007
Iter: 4, running avg elbo: -1125.9012
Iter: 5, running avg elbo: -1120.9585
Iter: 6, running avg elbo: -1116.2089
Iter: 7, running avg elbo: -1112.6091
Iter: 8, running avg elbo: -1107.9320
Iter: 9, running avg elbo: -1107.0460
Iter: 10, running avg elbo: -1101.3560
Iter: 11, running avg elbo: -1100.0019
Iter: 12, running avg elbo: -1095.9690
Iter: 13, running avg elbo: -1098.0405
Iter: 14, running avg elbo: -1097.1064
Iter: 15, running avg elbo: -1097.7493
Iter: 16, running avg elbo: -1104.7338
Iter: 17, running avg elbo: -1100.7183
Iter: 18, running avg elbo: -1100.2654
Iter: 19, running avg elbo: -1095.7667
Iter: 20, running avg elbo: -1091.8401
Iter: 21, running avg elbo: -1087.8304
Iter: 22, running avg elbo: -1091.4064
Iter: 23, running avg elbo: -1090.5750
Iter: 24, running avg elbo: -1095.1234
Iter: 25, running avg elbo: -1091.1310
Iter: 26, running avg elbo: -1095.8074
Iter: 27, running avg elbo: -1091.2800
Iter: 28, running avg elbo: -1091.5515
Iter: 29, running avg elbo: -1089.9767
Iter: 30, running avg elbo: -1086.5516
Iter: 31, running avg elbo: -1091.0262
Iter: 32, running avg elbo: -1089.8649
Iter: 33, running avg elbo: -1087.4091
Iter: 34, running avg elbo: -1086.5266
Iter: 35, running avg elbo: -1081.8650
Iter: 36, running avg elbo: -1078.5125
Iter: 37, running avg elbo: -1082.8704
Iter: 38, running avg elbo: -1080.8567
Iter: 39, running avg elbo: -1079.9133
Iter: 40, running avg elbo: -1079.2438
Iter: 41, running avg elbo: -1077.1316
Iter: 42, running avg elbo: -1077.2844
Iter: 43, running avg elbo: -1083.2161
Iter: 44, running avg elbo: -1081.4770
Iter: 45, running avg elbo: -1090.1570
Iter: 46, running avg elbo: -1096.2932
Iter: 47, running avg elbo: -1091.3771
Iter: 48, running avg elbo: -1088.5637
Iter: 49, running avg elbo: -1084.2215
Iter: 50, running avg elbo: -1081.1727
Iter: 51, running avg elbo: -1077.7430
Iter: 52, running avg elbo: -1084.9678
Iter: 53, running avg elbo: -1081.8079
Iter: 54, running avg elbo: -1079.4459
Iter: 55, running avg elbo: -1078.8699
Iter: 56, running avg elbo: -1080.3060
Iter: 57, running avg elbo: -1076.5666
Iter: 58, running avg elbo: -1076.9794
Iter: 59, running avg elbo: -1073.5174
Iter: 60, running avg elbo: -1078.8205
Iter: 61, running avg elbo: -1081.3413
Iter: 62, running avg elbo: -1077.8634
Iter: 63, running avg elbo: -1080.7407
Iter: 64, running avg elbo: -1084.6460
Iter: 65, running avg elbo: -1086.3209
Iter: 66, running avg elbo: -1082.2280
Iter: 67, running avg elbo: -1079.5961
Iter: 68, running avg elbo: -1084.6154
Iter: 69, running avg elbo: -1084.4074
Iter: 70, running avg elbo: -1082.1161
Iter: 71, running avg elbo: -1078.6022
Iter: 72, running avg elbo: -1075.7333
Iter: 73, running avg elbo: -1078.3371
Iter: 74, running avg elbo: -1076.0224
Iter: 75, running avg elbo: -1071.9448
Iter: 76, running avg elbo: -1070.8594
Iter: 77, running avg elbo: -1068.0759
Iter: 78, running avg elbo: -1069.6478
Iter: 79, running avg elbo: -1066.6388
Iter: 80, running avg elbo: -1066.3874
Iter: 81, running avg elbo: -1063.8613
Iter: 82, running avg elbo: -1065.8113
Iter: 83, running avg elbo: -1063.1002
Iter: 84, running avg elbo: -1061.9178
Iter: 85, running avg elbo: -1059.1331
Iter: 86, running avg elbo: -1060.2276
Iter: 87, running avg elbo: -1059.0390
Iter: 88, running avg elbo: -1063.0808
Iter: 89, running avg elbo: -1060.4734
Iter: 90, running avg elbo: -1059.3736
Iter: 91, running avg elbo: -1059.0218
Iter: 92, running avg elbo: -1056.8239
Iter: 93, running avg elbo: -1058.9653
Iter: 94, running avg elbo: -1058.3669
Iter: 95, running avg elbo: -1060.1543
Iter: 96, running avg elbo: -1062.3594
Iter: 97, running avg elbo: -1063.5247
Iter: 98, running avg elbo: -1063.5679
Iter: 99, running avg elbo: -1061.4339
Iter: 100, running avg elbo: -1059.4189
Iter: 101, running avg elbo: -1059.3300
Iter: 102, running avg elbo: -1058.3066
Iter: 103, running avg elbo: -1061.4215
Iter: 104, running avg elbo: -1061.8229
Iter: 105, running avg elbo: -1058.9318
Iter: 106, running avg elbo: -1061.4060
Iter: 107, running avg elbo: -1062.3775
Iter: 108, running avg elbo: -1063.5189
Iter: 109, running avg elbo: -1061.3020
Iter: 110, running avg elbo: -1058.8699
Iter: 111, running avg elbo: -1057.9857
Iter: 112, running avg elbo: -1056.0040
Iter: 113, running avg elbo: -1055.0240
Iter: 114, running avg elbo: -1052.5055
Iter: 115, running avg elbo: -1051.4517
Iter: 116, running avg elbo: -1051.6798
Iter: 117, running avg elbo: -1050.3333
Iter: 118, running avg elbo: -1050.8929
Iter: 119, running avg elbo: -1052.4186
Iter: 120, running avg elbo: -1051.3940
Iter: 121, running avg elbo: -1049.5171
Iter: 122, running avg elbo: -1049.1217
Iter: 123, running avg elbo: -1047.2245
